user_id,method,final_uncertainty,final_error,final_variance_axis_0,final_variance_axis_1,final_variance_axis_2,final_variance_axis_3,final_error_axis_0,final_error_axis_1,final_error_axis_2,final_error_axis_3
7,random,0.09729363175394472,0.3263272299193654,0.02091862359688195,0.021514328112744934,0.024367420986738407,0.030493259057579422,0.08256344840667157,0.017182025967532766,0.1122718454247067,0.294571805647837
8,random,0.11849458939248915,0.17109667992351757,0.03052736018934196,0.03587906567840792,0.02512400494792929,0.02696415857680999,0.05285888270302941,0.10662370760230183,0.06629748697200077,0.10351831045073245
9,random,0.11488183465510832,0.15692931015887854,0.024849342381669495,0.03082722329935309,0.028711629104035137,0.03049363987005061,0.09913140952652727,0.11950452772301823,0.006851575062408133,0.021713954155979875
10,random,0.10120965362159459,0.15333331740433898,0.020726018543958193,0.026956313004321022,0.02695891215974287,0.026568409913572504,0.11835652355203718,0.0708801393686358,0.0016167730579014217,0.06690464443413358
11,random,0.11244264282845817,0.09126989073341558,0.020278829469765114,0.028592149829858908,0.03555038868994121,0.028021274838892943,0.019150362981859237,0.0028540323256658895,0.028435858004734457,0.08453823413799988
12,random,0.10813815427244187,0.22218205194620785,0.02203911381997313,0.029868194016139157,0.030576643971836175,0.025654202464493413,0.06621008307841078,0.08826706014201025,0.057239912902558365,0.18415647577690997
13,random,0.09772953964258244,0.2626973535767965,0.028530784866239965,0.016516540128397213,0.02228739244509646,0.0303948222028488,0.03338774623917362,0.00032022385198571257,0.11551012328725302,0.2335646952177688
14,random,0.10262878028795705,0.17865452803015913,0.019504228706789518,0.024287350530167787,0.023573802808695542,0.0352633982423042,0.11521672454138387,0.13497248419819974,0.011247348736586615,0.017276354574912944
15,random,0.10005447854494619,0.13497808601723624,0.021901834319120867,0.0256428356894315,0.0276729336949106,0.024836874841483222,0.04948083306228834,0.02543545841152739,0.10719414961802731,0.06027588744599133
16,random,0.104122778291452,0.07488749736849258,0.027925345949892173,0.026445734649839556,0.022598525209978355,0.02715317248174193,0.07033616134954657,0.0031383263875592593,0.02163328102453599,0.013531952125437563
17,random,0.1271378970297431,0.19029714596861078,0.01747823813435608,0.059675893571268616,0.014480534150381488,0.0355032311737369,0.02979344809332285,0.18641550297462828,0.017748135800265796,0.016112670195871148
18,random,0.10595168972572179,0.12097780078526527,0.020644718657469856,0.01971925949880359,0.03232562620647476,0.03326208536297358,0.030515246122824136,0.1056405043814117,0.011434834768318303,0.04913019870471713
19,random,0.11968028165446802,0.24713093595840516,0.03080650741020564,0.020573509221120816,0.023445678576137007,0.04485458644700456,0.23650535654673643,0.0008360879358261242,0.07114394676775704,0.008761028914947552
0,info_gain,0.10072169291166963,0.2305512363485736,0.026547532208205157,0.016429061927356874,0.02126144256728271,0.03648365620882489,0.14949263125191758,0.048698451288684996,0.16520829108129886,0.033771395933755
1,info_gain,0.09409427298390752,0.21949535579644833,0.021461698594891245,0.03372147531966985,0.019344781125087862,0.019566317944258556,0.14194177033943578,0.08496405429459702,0.11809904063410104,0.08285210394580234
2,info_gain,0.0982255331897266,0.16407261452824737,0.025015511026262857,0.020748157992005897,0.028163548999565226,0.024298315171892623,0.048459017104268254,0.12444563275485576,0.08640270538969486,0.040241812695357704
3,info_gain,0.1083039505501634,0.25945556555126326,0.028542876404169037,0.03910330041372268,0.020606336863678725,0.020051436868592946,0.16901141208750792,0.09961325318080518,0.14567885838935668,0.08721928163441284
4,info_gain,0.10754345490545256,0.27876990550651976,0.02825535083873829,0.03137242074066478,0.023101944552940006,0.024813738773109488,0.1627020709318941,0.19157134225622507,0.007743912259070673,0.12033764572925199
5,info_gain,0.10507125276519759,0.19732003817710925,0.01739293941895222,0.028817302039771103,0.03658953815470868,0.02227147315176559,0.019100953963182676,0.06612009863669988,0.16850138610244353,0.07619558032944276
6,info_gain,0.09234477065641039,0.2068777815149377,0.023436244319425485,0.02564841655280462,0.018378818714885194,0.0248812910692951,0.1418929118819291,0.13134706743160263,0.05418605962999312,0.04976582020927878
7,info_gain,0.09216485191536153,0.3021192768173944,0.01896770652322464,0.021344594118619886,0.022845592130347897,0.029006959143169097,0.08263551590052781,0.02846621925027626,0.13855178397657353,0.25385134716015023
8,info_gain,0.1089877959638229,0.09217796635989399,0.028921065457348457,0.031624206261313265,0.024773412843717563,0.023669111401443604,0.03797517172349685,0.008666232359700543,0.04792484624829224,0.06843076313750929
9,info_gain,0.11126549069969713,0.1783176271334553,0.02466552752528814,0.02749649601729136,0.02741978648847994,0.03168368066863769,0.11805936279700657,0.03103746705612076,0.11738748689226419,0.05582129129937338
10,info_gain,0.09378674414432711,0.11841807210656219,0.022068435580251095,0.024038443903268945,0.022970028118316922,0.02470983654249015,0.04901581914127873,0.041194200447819074,0.09528742399337364,0.02904537748965158
11,info_gain,0.10961956214532945,0.1395380572114298,0.017575442684401008,0.02989574329225092,0.031602818248026375,0.030545557920651133,0.03191701656315382,0.029619487513229764,0.09636242475703764,0.09104472812000433
12,info_gain,0.1130531832378024,0.09628462812962423,0.02267293829650876,0.03015998649920457,0.03147794275202337,0.028742315690065703,0.05360931533243596,0.04049943442214765,0.0006158032950713821,0.06896511814994166
13,info_gain,0.09452653536260693,0.17495452882036486,0.023492181121520888,0.018821384692541895,0.022726011176107605,0.02948695837243653,0.03559469173222207,0.10704908604644492,0.004929489918346283,0.13363494446068258
14,info_gain,0.10059700017937703,0.22971667318325456,0.019718789445073187,0.024396820225349135,0.025086148197387814,0.0313952423115669,0.10635993997153637,0.1417899754127824,0.13484708465915396,0.05629546819241216
15,info_gain,0.09185524333892074,0.19949565498315952,0.02071528755789634,0.021741586285318158,0.025272857325523767,0.02412551217018248,0.16610789239178092,0.023827988668378652,0.09864811926502998,0.04367447725860485
16,info_gain,0.11247066683354628,0.20023898320299235,0.028318696154512952,0.027441001102400452,0.02698772612455912,0.029723243452073764,0.04830398299688432,0.05065274414457552,0.14549304479393782,0.1184417538202569
17,info_gain,0.1310780046837767,0.09058393469381433,0.017562213813236905,0.060716931098790485,0.016009827295892218,0.03678903247585709,0.026013292166098156,0.00969144512770792,0.01966403317413845,0.0839533176590267
18,info_gain,0.10047028846847293,0.08158668843597622,0.020698589342506547,0.018272038107085525,0.030201892635064894,0.03129776838381597,0.010231417679726573,0.018723106485967866,0.009243429468873132,0.07820300580784034
19,info_gain,0.10378618701293038,0.13306559748067226,0.026860432903378074,0.020194694733388502,0.02304856420950925,0.033682495166654565,0.07177950541432176,0.04330526214726782,0.07772620775063488,0.06809880127010459
